Address,Date,Price
"9 CARLTON COURT, ST LAWRENCE RD, CLONTARF DUBLIN 3, D03 P044
Carlton Court
Street Lawrence Road
Dublin
D03",24-Oct-24,"€ 335,000"
"9 DRUMNIGH WOOD, PORTMARNOCK, DUBLIN 13, D13 F972
Drumnigh Wood
Portmarnock
Dublin
D13",24-Oct-24,"€ 1,450,000"
"9 KELLYS BAY RISE, SKERRIES, DUBLIN, K34 D112
Kellys Bay Rise
Skerries
Dublin
K34",24-Oct-24,"€ 375,000"
"APT.57 - BERESFORD HOUSE, CUSTOM HOUSE SQUARE, IFSC, D01 K858
. Beresford House
Custom House Square
Ifsc
Dublin
D01",24-Oct-24,"€ 630,000"
"CLIFTON HOUSE, COLIEMORE RD, DALKEY, A96 X921
Clifton House
Coliemore Road
Dalkey
Dublin
A96",24-Oct-24,"€ 3,682,407"
"1-36 Tully Lodge, Cherrywood, DUBLIN 18
Tully Lodge
Cherrywood
Dublin",23-Oct-24,"€ 12,000,000"
"102 CASTLETIMON RD, COOLOCK, DUBLIN CITY, D05 K095
Castletimon Road
Coolock
Dublin
D05",23-Oct-24,"€ 385,000"
"11 Woodbrook Way, Woodbrook, Shankill
Woodbrook Way
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 469,986"
"16 Parkleigh Way, Seven Mills, Clonburris
Parkleigh Way
seven Mills
Clonburris
Dublin",23-Oct-24,"€ 450,000"
"18 Woodbrook Park, Woodbrook, Shankill
Woodbrook Park
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 340,000"
"2-20 (Even) Woodbrook Way, Woodbrook, Shankill
(even) Woodbrook Way
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 4,625,910"
"20 Kylemore Wood, Kyle, Killney
Kylemore Wood
Kyle
Killney
Dublin",23-Oct-24,"€ 895,000"
"20 Woodbrook Park, Woodbrook, Shankill
Woodbrook Park
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 340,000"
"21 LARKFIELD PARK, DUBLIN 6W, DUBLIN, D6W C856
Larkfield Park
Dublin
D6W",23-Oct-24,"€ 866,000"
"22 Tully Drive, Cherrywood, Dublin 18
Tully Drive
Cherrywood
Dublin",23-Oct-24,"€ 495,000"
"22 Woodbrook Park, Woodbrook, Shankill
Woodbrook Park
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 340,000"
"24 COOLRUA DR, BEAUMONT, DUBLIN 9, D09 CP70
Coolrua Drive
Beaumont
Dublin
D09",23-Oct-24,"€ 676,000"
"25 BROADFIELD AVE, RATHCOOLE, DUBLIN, D24 VY03
Broadfield Avenue
Rathcoole
Dublin
D24",23-Oct-24,"€ 430,000"
"26 ROSELAWN RD, CASTLEKNOCK, DUBLIN 15, D15 KDF3
Roselawn Road
Castleknock
Dublin
D15",23-Oct-24,"€ 625,000"
"27 BRIAN AVE, MARINO, DUBLIN 3, D03 XT54
Brian Avenue
Marino
Dublin
D03",23-Oct-24,"€ 680,000"
"3 RATHMILL GLEN, RATHMILL MANOR, RATHCOOLE, D24 KFW1
Rathmill Glen
Rathmill Manor
Rathcoole
Dublin
D24",23-Oct-24,"€ 560,000"
"30 Balleally Rise, Hands Lane, Lusk
Balleally Rise
Hands Lane
Lusk
Dublin",23-Oct-24,"€ 385,000"
"37 HAZELWOOD, DUBLIN ROAD, THURLES, E41 X2F3
Hazelwood
Dublin Road
Thurles
Tipperary
E41",23-Oct-24,"€ 315,000"
"42 CASTLEKNOCK VALE, LAUREL LODGE CASTLEKNOCK, DUBLIN 15, D15 YW1Y
Castleknock Vale
Laurel Lodge Castleknock
Dublin
D15",23-Oct-24,"€ 450,000"
"43 BRIARFIELD RD, KILBARRACK, DUBLIN 5, D05 PY23
Briarfield Road
Kilbarrack
Dublin
D05",23-Oct-24,"€ 398,000"
"53 ARDBEG PARK, ARTANE, DUBLIN 5, D05 W7Y7
Ardbeg Park
Artane
Dublin
D05",23-Oct-24,"€ 300,000"
"6 HOLLYWOOD DRIVE, GOATSTOWN, DUBLIN 14, D14 R998
Hollywood Drive
Goatstown
Dublin
D14",23-Oct-24,"€ 850,000"
"6 KILLININNY COURT, FIRHOUSE RD, FIRHOUSE DUBLIN 24, D24 HK13
Killininny Court
Firhouse Road
Dublin
D24",23-Oct-24,"€ 222,500"
"7 MAPLE HALL, CLAY FARM, LEOPARDSTOWN, D18 AK4P
Maple Hall
Clay Farm
Leopardstown
Dublin
D18",23-Oct-24,"€ 537,000"
"75 NAAS RD, BLUEBELL, DUBLIN 12, D12 F704
Naas Road
Bluebell
Dublin
D12",23-Oct-24,"€ 500,000"
"77 DRUMNIGH MANOR, DRUMNIGH, PORTMARNOCK, D13 T9TF
Drumnigh Manor
Drumnigh
Portmarnock
Dublin
D13",23-Oct-24,"€ 734,000"
"8 MAPLE RD, CLONSKEAGH, DUBLIN 14, D14 TN22
Maple Road
Clonskeagh
Dublin
D14",23-Oct-24,"€ 2,737,500"
"8 THE TEMPLETON, LANSDOWNE PLACE, BALLSBRIDGE, D04 Y0X8
The Templeton
Lansdowne Place
Ballsbridge
Dublin
D04",23-Oct-24,"€ 1,587,000"
"81 TORY SQ, WATERVILLE, BLANCHARDSTOWN DUBLIN 15, D15 P302
Tory Square
Waterville
Dublin
D15",23-Oct-24,"€ 325,000"
"90 BUTTERFIELD PARK, RATHFARNHAM, DUBLIN 14, D14 W625
Butterfield Park
Rathfarnham
Dublin
D14",23-Oct-24,"€ 980,000"
"APT 105, THE GLEN, CLON BRUGH DUBLIN 18, D18 YX54
The Glen
Dublin
D18",23-Oct-24,"€ 421,000"
"APT 126, GARDEN COURT, SMITHFIELD VILLAGE DUBLIN 7
Garden Court
Dublin",23-Oct-24,"€ 300,000"
"APT 17, 32 MARRSFIELD AVE, CLONGRIFFIN DUBLIN 13, D13 PK59
Marrsfield Avenue
Dublin
D13",23-Oct-24,"€ 450,000"
"APT 17, EASTMORE, BUSHY PARK RD DUBLIN 6, D06 XP44
Eastmore
Dublin
D06",23-Oct-24,"€ 495,000"
"OAK TREE, RIVER ROAD, BLANCHARDSTOWN, D15 F34A
Oak Tree
River Road
Blanchardstown
Dublin
D15",23-Oct-24,"€ 475,000"
"THE CHALET, STRAND RD, SUTTON DUBLIN 3, D13 Y521
The Chalet
Strand Road
Dublin
D13",23-Oct-24,"€ 2,150,000"
"1 VIEWMOUNT, DUBLIN RD, LONGFORD, N39 V2Y4
Viewmount
Dublin Road
Longford
N39",22-Oct-24,"€ 340,000"
"10 CULMORE RD, PALMERSTOWN, DUBLIN 20, D20 E027
Culmore Road
Palmerstown
Dublin
D20",22-Oct-24,"€ 600,000"
"10 TYMONVILLE LAWN, TALLAGHT, DUBLIN 24, D24 N8P6
Tymonville Lawn
Tallaght
Dublin
D24",22-Oct-24,"€ 372,000"
"12 WHITETHORN CLOSE, ARTANE, DUBLIN 5, D05 W773
Whitethorn Close
Artane
Dublin
D05",22-Oct-24,"€ 435,000"
"13 CARRIGWOOD, FIRHOUSE, DUBLIN 24, D24 AYW7
Carrigwood
Firhouse
Dublin
D24",22-Oct-24,"€ 535,000"
"15 The Avenue, Foxwood Barn, Brownsbarn
The Avenue
Foxwood Barn
Brownsbarn
Dublin",22-Oct-24,"€ 575,000"
"167 THE SPINNAKER, ARRAN QUAY, DUBLIN, D07 E199
The Spinnaker
Arran Quay
Dublin
D07",22-Oct-24,"€ 250,000"
"18 FOREST COURT, RIVERVALLEY, SWORDS, K67 F6C9
Forest Court
Rivervalley
Swords
Dublin
K67",22-Oct-24,"€ 416,000"
"19 Tully Drive, Cherrywood
Tully Drive
Cherrywood
Dublin",22-Oct-24,"€ 495,000"
"19 Tully Drive, Cherrywood
Tully Drive
Cherrywood
Dublin",22-Oct-24,"€ 495,000"
"208 LOWER KIMMAGE ROAD, KIMMAGE, DUBLIN 6W
Lower Kimmage Road
Kimmage
Dublin",22-Oct-24,"€ 525,000"
"22 THE HEATH, CYPRESS DOWNS, TEMPLEOGUE DUBLIN 6W, D6W X006
The Heath
Cypress Downs
Dublin
D6W",22-Oct-24,"€ 697,500"
"27 JAMES CONNOLLY PARK, CLONDALKIN, DUBLIN 22, D22 FA30
James Connolly Park
Clondalkin
Dublin
D22",22-Oct-24,"€ 335,000"
"273 RICHMOND RD, FAIRVIEW, DUBLIN 3, D03 VK29
Richmond Road
Fairview
Dublin
D03",22-Oct-24,"€ 540,000"
"39 CASTLELAND PARK VIEW, BALBRIGGAN, CO. DUBLIN, K32 FR50
Castleland Park View
Balbriggan
Dublin
K32",22-Oct-24,"€ 360,000"
"39 EGLINTON RD, DONNYBROOK, DUBLIN 4, D04 W3Y4
Eglinton Road
Donnybrook
Dublin
D04",22-Oct-24,"€ 2,265,000"
"41 SHANLISS AVE, SANTRY, DUBLIN 9, D09 PD60
Shanliss Avenue
Santry
Dublin
D09",22-Oct-24,"€ 440,000"
"42 SWIFT HALL, COLLEGEWOOD, CARPENTERSTOWN, D15 AK57
Swift Hall
Collegewood
Carpenterstown
Dublin
D15",22-Oct-24,"€ 345,000"
"45 SEAGRANGE RD, BALDOYLE, DUBLIN 13, D13 ET99
Seagrange Road
Baldoyle
Dublin
D13",22-Oct-24,"€ 552,000"
"49 MUSIC HALL, COWS LANE, TEMPLE BAR DUBLIN 8
Music Hall
Cows Lane
Dublin",22-Oct-24,"€ 384,000"
"5 Watson Place, Ballyroan Heights, Rathfarnham
Watson Place
Ballyroan Heights
Rathfarnham
Dublin",22-Oct-24,"€ 950,000"
"50 Woodbrook Way, Woodbrook, Shankill
Woodbrook Way
Woodbrook
Shankill
Dublin",22-Oct-24,"€ 584,999"
"60 CARLINGFORD PARADE, DUBLIN 2, DUBLIN, D02 KA61
Carlingford Parade
Dublin
D02",22-Oct-24,"€ 425,000"
"60 THE PINES, VENETIAN HALL, KILLESTER DUBLIN 5, D05 W883
The Pines
Venetian Hall
Dublin
D05",22-Oct-24,"€ 509,000"
"9 NEWCASTLE BOULEVARD, NEWCASTLE, CO DUBLIN, D22 CV50
Newcastle Boulevard
Newcastle
Dublin
D22",22-Oct-24,"€ 310,000"
"No. 4 Watson Place, Ballyroan Heights, Rathfarnham
Watson Place
Ballyroan Heights
Rathfarnham
Dublin",22-Oct-24,"€ 925,000"
"1 CRONANS WELL GATE, RATHBEALE ROAD, MOORETOWN, K67 N2N6
Cronans Well Gate
Rathbeale Road
Mooretown
Dublin
K67",21-Oct-24,"€ 514,999"
"11 CHAPEL PLACE, CHAPEL ST, BALBRIGGAN, K32 WN24
Chapel Place
Chapel Street
Balbriggan
Dublin
K32",21-Oct-24,"€ 211,000"
"11 GROVE GARDEN, VERDEMONT, BLANCHARDSTOWN DUBLIN 15, D15 EC95
Grove Garden
Verdemont
Dublin
D15",21-Oct-24,"€ 270,000"
"12 Tully Court, Cherrywood, Dublin 18
Tully Court
Cherrywood
Dublin",21-Oct-24,"€ 575,000"
"13 CASEMENT VILLAS, KILL AVE, DUN LAOGHAIRE, A96 KR86
Casement Villas
Kill Avenue
Dun Laoghaire
Dublin
A96",21-Oct-24,"€ 625,000"
"137 BLOCK C, CASTLEFORBES SQ, CASTLEFORBES RD DUBLIN 1, D01 Y524
Castleforbes Square
Dublin
D01",21-Oct-24,"€ 327,000"
"14 TULLY DRIVE, CHERRYWOOD
Tully Drive
Cherrywood
Dublin",21-Oct-24,"€ 500,000"
"15A KYLEMORE DR, BALLYFERMOT, DUBLIN, D10 TX96
Kylemore Drive
Ballyfermot
Dublin
D10",21-Oct-24,"€ 377,000"
"16 GLEN COURT, STEPASIDE PARK, STEPASIDE, D18 F5K7
Glen Court
Stepaside Park
Stepaside
Dublin
D18",21-Oct-24,"€ 505,000"
"16 SYNNOTT ROW, DRUMCONDRA, DUBLIN 7, D07 W296
Synnott Row
Drumcondra
Dublin
D07",21-Oct-24,"€ 461,000"
"17 CRESCENT GARDENS, EAST WALL, DUBLIN 3, D03 AN25
Crescent Gardens
East Wall
Dublin
D03",21-Oct-24,"€ 642,000"
"17 Tandys Lane, Adamstown, Lucan
Tandys Lane
Adamstown
Lucan
Dublin",21-Oct-24,"€ 615,000"
"18 Parkleigh Way, Seven Mills, Clonburris
Parkleigh Way
Seven Mills
Clonburris
Dublin",21-Oct-24,"€ 445,000"
"18 PINEBROOK VIEW, HUNTSTOWN, CLONSILLA DUBLIN 15, D15 HK2F
Pinebrook View
Huntstown
Dublin
D15",21-Oct-24,"€ 250,000"
"196 THE LINKS, ELM PARK, MERRION RD DUBLIN 4, D04 YY18
The Links
Elm Park
Dublin
D04",21-Oct-24,"€ 520,000"
"2 3 4 The View, Ballycullen Gate, Ballycullen
The View
Ballycullen Gate
Ballycullen
Dublin",21-Oct-24,"€ 933,660"
"2 GLENHILL RD, FINGLAS EAST, DUBLIN 11, D11 HC0H
Glenhill Road
Finglas East
Dublin
D11",21-Oct-24,"€ 375,000"
"21 KERRYMOUNT RISE, FOXROCK, DUBLIN 18, D18 F4A3
Kerrymount Rise
Foxrock
Dublin
D18",21-Oct-24,"€ 845,000"
"214 MILLBROOK AVE, RAHENY, DUBLIN 5, D13 DF78
Millbrook Avenue
Raheny
Dublin
D13",21-Oct-24,"€ 430,000"
"22 DARGLE VALLEY, MARLEY GRANGE, RATHFARNHAM, D16 T951
Dargle Valley
Marley Grange
Rathfarnham
Dublin
D16",21-Oct-24,"€ 840,000"
"22 MULVEY PARK, DUNDRUM, DUBLIN 14, D14 NR24
Mulvey Park
Dundrum
Dublin
D14",21-Oct-24,"€ 661,000"
"31 HAMPTON SQ, NAVAN RD, DUBLIN 7, D07 YX40
Hampton Square
Navan Road
Dublin
D07",21-Oct-24,"€ 210,000"
"33 BALLISK COURT, DONABATE, CO. DUBLIN
Ballisk Court
Donabate
Dublin",21-Oct-24,"€ 277,500"
"33 SHANLISS PARK, SANTRY, DUBLIN 9, D09 A038
Shanliss Park
Santry
Dublin
D09",21-Oct-24,"€ 197,500"
"37 Shoreside Park, Sea Gardens, Bray
Shoreside Park
Sea Gardens
Bray
Dublin",21-Oct-24,"€ 645,000"
"43 CASTAHEANY, NAVAN ROAD, CLONEE, D15 F7H6
Castaheany
Navan Road
Clonee
Dublin
D15",21-Oct-24,"€ 615,000"
"45 WOODBROOK WAY, WOODBROOK, SHANKILL
Woodbrook Way
Woodbrook
Shankill
Dublin",21-Oct-24,"€ 580,000"
"46 RAILWAY AVE, INCHICORE, DUBLIN 8, D08 E0KP
Railway Avenue
Inchicore
Dublin
D08",21-Oct-24,"€ 451,000"
"47 HUNTERS AVE, BALLYCULLEN, DUBLIN 24, D24 A89H
Hunters Avenue
Ballycullen
Dublin
D24",21-Oct-24,"€ 525,000"
"53 THE BOULEVARD, KILMARTIN GROVE, HOLLYSTOWN
The Boulevard
Kilmartin Grove
Hollystown
Dublin",21-Oct-24,"€ 480,000"
"58 CASTLERIADA DR, LUCAN, DUBLIN, K78 F682
Castleriada Drive
Lucan
Dublin
K78",21-Oct-24,"€ 440,000"
"59 JAMESTOWN AVE, INCHICORE, DUBLIN 8, D08 V5WT
Jamestown Avenue
Inchicore
Dublin
D08",21-Oct-24,"€ 406,000"
"68 SOUTH BANK, SWORDS, DUBLIN, K67 RW97
South Bank
Swords
Dublin
K67",21-Oct-24,"€ 445,000"
"7 The Avenue, KIlmartin Grove, Hollystown, D15 NA0D
The Avenue
KIlmartin Grove
Hollystown
Dublin
D15",21-Oct-24,"€ 490,000"
"7 WHITESTOWN GREEN, BLANCHARDSTOWN DUBLIN 15, DUBLIN, D15 FXV9
Whitestown Green
Dublin
D15",21-Oct-24,"€ 346,000"
"7 Woodward Way, Glencairn Gate, Leopardstown
Woodward Way
Glencairn Gate
Leopardstown
Dublin",21-Oct-24,"€ 760,001"
"90 SORRENTO RD, DALKEY, DUBLIN, A96 FT53
Sorrento Road
Dalkey
Dublin
A96",21-Oct-24,"€ 1,300,000"
"APARTMENT 1, 1 CHURCH PLACE, SALLYNOGGIN, A96 D579
Church Place
Sallynoggin
Dublin
A96",21-Oct-24,"€ 2,606,412"
"I Kinross, Fey Yerra Lane, Foxrock
I Kinross
fey Yerra Lane
Foxrock
Dublin",21-Oct-24,"€ 704,994"
"1 ARDAGH CRESCENT, BLACKROCK, DUBLIN, A94 RX99
Ardagh Crescent
Blackrock
Dublin
A94",18-Oct-24,"€ 675,000"
"1 Somerton, Monkstown Road, Monkstown
Somerton
Monkstown Road
Monkstown
Dublin",18-Oct-24,"€ 1,895,000"
"1 The Crescent, Kilmartin Grove, Hollystown
The Crescent
Kilmartin Grove
Hollystown
Dublin",18-Oct-24,"€ 464,999"
"1 The Glebe, Kilmartin Grove, Hollystown
The Glebe
Kilmartin Grove
Hollystown
Dublin",18-Oct-24,"€ 409,999"
"10 ASHLEIGH LAWN, MALAHIDE, CO DUBLIN, K36 K226
Ashleigh Lawn
Malahide
Dublin
K36",18-Oct-24,"€ 1,900,000"
"10 LIFFEY CRESCENT, LIFFEY VALLEY PARK, LUCAN, K78 F590
Liffey Crescent
Liffey Valley Park
Lucan
Dublin
K78",18-Oct-24,"€ 375,000"
"11 BELARMINE DRIVE, STEPASIDE, CO. DUBLIN, D18 W522
Belarmine Drive
Stepaside
Dublin
D18",18-Oct-24,"€ 640,000"
"12 ARUNDEL, MONKSTOWN VALLEY, MONKSTOWN, A94 X6D8
Arundel
Monkstown Valley
Monkstown
Dublin
A94",18-Oct-24,"€ 670,000"
"12 LAMBOURNE VILLAGE, CLONTARF, DUBLIN 3, D03 W019
Lambourne Village
Clontarf
Dublin
D03",18-Oct-24,"€ 470,000"
"12 THE WAXWORK BUILDING, THE VILLAGE CENTRE, ASHTOWN RD DUBLIN 15, D15 N264
The Waxwork Building
The Village Centre
Dublin
D15",18-Oct-24,"€ 452,500"
"13 Laurel Manor, Stocking Lane, Rathfarnham
Laurel Manor
Stocking Lane
Rathfarnham
Dublin",18-Oct-24,"€ 730,000"
"13 WOODLANDS PARK, JOHNSTOWN, DUN LAOGHAIRE, A96 X5P0
Woodlands Park
Johnstown
Dun Laoghaire
Dublin
A96",18-Oct-24,"€ 681,000"
"14 BARNEWALL DRIVE, BEAVERSTOWN ROAD, DONABATE, K36 Y798
Barnewall Drive
Beaverstown Road
Donabate
Dublin
K36",18-Oct-24,"€ 485,000"
"14 SUTTON FIELD PARK, Ballybetagh Road, Kilternan
Sutton Field Park
Ballybetagh Road
Kilternan
Dublin",18-Oct-24,"€ 615,000"
"14 The Drive, Kilmartin Grove, Hollystown
The Drive
Kilmartin Grove
Hollystown
Dublin",18-Oct-24,"€ 460,000"
"15 GLEANN NA RI, DRUIDS VALLEY, CABINTEELY, D18 X6H0
Gleann Na Ri
Druids Valley
Cabinteely
Dublin
D18",18-Oct-24,"€ 355,000"
"16 THE MAPLES, CLONSHAUGH WOODS, CLONSHAUGH RD DUBLIN 17, D17 KP93
The Maples
Clonshaugh Woods
Dublin
D17",18-Oct-24,"€ 306,000"
"17 MAC UILLIAM CRESCENT, FORTUNESTOWN, DUBLIN 24, D24 K767
Mac Uilliam Crescent
Fortunestown
Dublin
D24",18-Oct-24,"€ 115,000"
"17 PARKVIEW AVE, HAROLDS CROSS, DUBLIN 6, D06 P2X8
Parkview Avenue
Harolds Cross
Dublin
D06",18-Oct-24,"€ 845,000"
"18 Ballygossan Way, Station Links, Golf Links Road
Ballygossan Way
Station Links
Golf Links Road
Dublin",18-Oct-24,"€ 525,000"
"18 JOHNSTOWN HOUSE, JOHNSTOWN PARK, GLASNEVIN DUBLIN 11, D11 HP26
Johnstown House
Johnstown Park
Dublin
D11",18-Oct-24,"€ 260,000"
"18 Parkleigh Green, Seven Mills, Clonburris
Parkleigh Green
Seven Mills
Clonburris
Dublin",18-Oct-24,"€ 395,000"
"1A AILESBURY GROVE, DUNDRUM, DUBLIN 16, D16 DC64
Ailesbury Grove
Dundrum
Dublin
D16",18-Oct-24,"€ 695,000"
"20 The Drive, Kilmartin Grove, Hollystown
The Drive
Kilmartin Grove
Hollystown
Dublin",18-Oct-24,"€ 460,000"
"21 ROSS ST, OXMANTOWN RD, CIRCULAR RD NORTH DUBLIN 7, D07 X3Y7
Ross Street
Oxmantown Road
Dublin
D07",18-Oct-24,"€ 344,000"
"21 THE JASPER, THE GRANGE, BREWERY RD, A94 RD68
The Jasper
The Grange
Brewery Road
Dublin
A94",18-Oct-24,"€ 399,000"
"22 LINDSAY HOUSE, PATRICK ST, DUBLIN 8, D08 FA36
Lindsay House
Patrick Street
Dublin
D08",18-Oct-24,"€ 417,000"
"23 CASTLE GROVE, CLONTARF, DUBLIN 3, D03 RF76
Castle Grove
Clontarf
Dublin
D03",18-Oct-24,"€ 1,010,000"
"25 CITYWEST AVENUE, CUIL DUIN, CITYWEST, D24 W29A
Citywest Avenue
Cuil Duin
Citywest
Dublin
D24",18-Oct-24,"€ 495,000"
"25 WESTBOURNE DR, CLONDALKIN, DUBLIN 22, D22 F8C8
Westbourne Drive
Clondalkin
Dublin
D22",18-Oct-24,"€ 300,000"
"26 ASHTON AVE, ASHTON BROC, SWORDS, K67 TA47
Ashton Avenue
Ashton Broc
Swords
Dublin
K67",18-Oct-24,"€ 317,500"
"26 MUSIC HALL, ESSEX ST WEST, TEMPLE BAR DUBLIN 8, D08 X389
Music Hall
Essex Street West
Dublin
D08",18-Oct-24,"€ 390,000"
"28 THE CORN EXCHANGE, POOLBEG ST, DUBLIN, D02 R253
The Corn Exchange
Poolbeg Street
Dublin
D02",18-Oct-24,"€ 310,000"
